	Voltage(V)	Current(A)	Current(A) stdev	J(mA/cm2)	J(mA/cm2) stdev	PE(lm/W)	PE(lm/W) stdev	EQE(%)	EQE(%) stdev	L(cd/m2)	L(cd/m2) stdev	CE(cd/A)	CE(cd/A) stdev
23	3.5999643750000003	0.00015533523125000001	6.594960269090633e-05	0.9708457500000001	0.41218558325187393	1.33622475	0.6227525873336959	0.4967006625	0.24547362448821988	14.82632875	8.193348828220268	1.531193725941654	0.7136356436727427
24	3.799961875	0.00022653433125	8.696500820140764e-05	1.415838125	0.5435309202560232	1.3078178125	0.5859576671265615	0.56005075	0.27993824515138604	23.402655625	12.737729965408361	1.5818946040851065	0.7087672601357643
25	3.999915	0.00031779031250000003	0.00011179954600574121	1.9861901875	0.6987473709846981	1.4110654999999999	0.4349490987079695	0.6451625624999999	0.2024861042389603	36.416055	16.599105604621442	1.79659683466536	0.5538128720995799
26	4.1998999999999995	0.00043630124999999997	0.00015979809706998235	2.72688125	0.9987386388958012	1.3637442499999999	0.3954315256072314	0.653818	0.18232121490997694	50.58961875	22.82874770339524	1.8231589373934154	0.528663961630897
27	4.3998518749999995	0.0005744781875	0.00020733230406319307	3.5904893749999998	1.2958266712964968	1.3150830624999998	0.3509520796511022	0.6584184375	0.1877449568723381	67.40214999999999	29.58411148896059	1.8418028986958532	0.4915341999917546
28	4.5998375	0.0007274775625	0.0002550934873146923	4.54673375	1.5943343124164508	1.262896	0.31594458336411624	0.6650701875	0.164375805194689	85.8185625	36.90649370415515	1.8491062934556444	0.4626183213496619
29	4.800176875	0.00089777	0.00030148535283658476	5.611061875	1.8842843545933385	1.2002715	0.2815424923872505	0.6605369375	0.15617956505072483	105.16131250000001	43.82039748711316	1.833951152126801	0.430194576034928
30	5.00015125	0.00108105525	0.00034488746058687386	6.756595625000001	2.155549563678509	1.15147	0.260451437578822	0.65880325	0.1436277409958205	126.44215	50.655127376110705	1.8326846375376202	0.4145525912217947
31	5.20017375	0.00128279625	0.000393071389140303	8.0174775	2.456694891410256	1.0949915000000001	0.24092881765134488	0.6464675	0.14294789011253364	148.12260625000002	57.44450769841349	1.8125079158581925	0.3988219743380118
32	5.4001512499999995	0.001501697375	0.00044573174521676643	9.385613750000001	2.785828436742101	1.046424	0.2284255137096117	0.6469813125	0.13889885188047757	172.02560624999998	65.80771422160996	1.7987250745963272	0.39266110036033897
33	5.600135625	0.0017256346249999999	0.0005069664836637224	10.785215	3.1685346671134904	1.0023149375	0.21414066279389488	0.6470876875	0.13480552966204631	196.45785	74.77284497304152	1.786708684147181	0.38173158397063134
34	5.8002	0.00197357	0.0005742742059003694	12.334815625	3.5892216748516117	0.9605028125000001	0.20380149977834403	0.6372844375	0.1337655752005952	223.66400625	86.16530382439666	1.7733411531797678	0.3762778065995979
35	6.00018	0.00223716375	0.0006619425839137693	13.982270624999998	4.1371424620555866	0.9225401875	0.1952327065261539	0.6321718125	0.13248551752324608	251.95209375000002	97.73590231304122	1.7619782742359433	0.37288784497337035
36	6.200199375	0.002558556875	0.0007237024555948283	15.990990625	4.523139038054032	0.88333725	0.1833963739801376	0.62813375	0.12580758251567153	284.707125	108.5203283501961	1.7433436323723888	0.36195719610177923
37	6.400209375	0.002871865625	0.000821853935281148	17.94916875	5.13659187882865	0.8539805625000001	0.17577503045511353	0.627872625	0.12412968936150759	318.26318749999996	120.43651983577216	1.7397736261129224	0.35810262986994285
38	6.600154375	0.003245444375	0.0009166767232165925	20.284031249999998	5.729212901188823	0.8188650625	0.16810809177299765	0.6196553124999999	0.12559986068399856	357.045125	136.18563878483803	1.7203508734307087	0.35318428539189056
