	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
169	A3-1	9.80022	0.0183128	114.455	0.496516	0.554552	1772.78	1.5488882093399152
170	A3-1	10.0002	0.0196248	122.655	0.481011	0.549141	1878.02	1.5311401899637194
171	A4-1	-0.999961	-8.45396e-07	-0.00528372	-10.4713	-12.6795	-0.176106	3.3329926642592715
172	A4-1	-0.799974	-5.36083e-07	-0.00335052	-59.3131	-21.9482	-0.506044	15.10344662917995
173	A4-1	-0.59996	-3.0489e-07	-0.00190556	54.9645	-59.5321	0.200022	-10.49675685887613
174	A4-1	-0.399951	-1.43794e-07	-0.000898712	113.952	-160.435	0.130377	-14.5070945976019
175	A4-1	-0.199998	-5.62145e-08	-0.000351341	2476.51	-370.151	0.553917	-157.65794484560584
176	A4-1	5.04017e-05	1.13039e-08	7.06494e-05	-19812600.0	212.05	-0.224566	-317.8597412009161
177	A4-1	0.200042	7.96443e-08	0.000497777	-575.968	-137.387	-0.182559	-36.674856411606
178	A4-1	0.399984	1.88049e-07	0.00117531	251.623	-8.70677	0.376526	32.03631382358697
179	A4-1	0.59998	3.47438e-07	0.00217149	-53.6559	34.581	-0.222516	-10.247157481729136
180	A4-1	0.799992	6.24671e-07	0.00390419	47.6851	21.3216	0.474078	12.142800427233306
181	A4-1	0.999992	9.68217e-07	0.00605136	-8.25953	0.667977	-0.159094	-2.629061896829804
182	A4-1	1.2	1.53987e-06	0.00962419	0.306041	-8.35572	0.0112506	0.11689918839923152
183	A4-1	1.4	2.17546e-06	0.0135966	-1.24111	-0.695612	-0.0752003	-0.5530816527661326
184	A4-1	1.6	2.97364e-06	0.0185853	-1.09051	4.68884	-0.103221	-0.555390550596439
185	A4-1	1.79998	4.02361e-06	0.0251476	0.233081	-2.58195	0.0335832	0.1335443541331976
186	A4-1	1.99997	5.27003e-06	0.0329377	-2.74551	0.500248	-0.575692	-1.7478208860970863
187	A4-1	2.20001	7.05724e-06	0.0441078	-0.699192	-1.17332	-0.215966	-0.48963221924466865
188	A4-1	2.39997	9.42803e-06	0.0589252	-0.53671	-2.68569	-0.2416	-0.4100113364061556
189	A4-1	2.59999	1.32214e-05	0.0826337	0.414438	-0.834643	0.283426	0.34299081367529227
190	A4-1	2.8	1.99097e-05	0.124436	1.4076	0.980347	1.5611	1.2545404866758816
191	A4-1	2.99993	3.21906e-05	0.201191	1.74727	0.806415	3.35683	1.6684792063263267
192	A4-1	3.19996	5.23655e-05	0.327284	2.03111	0.512234	6.771	2.0688454064360005
193	A4-1	3.39991	8.4889e-05	0.530556	2.23505	1.11109	12.8332	2.418821010411719
194	A4-1	3.59999	0.000133582	0.834888	2.25488	0.842409	21.5726	2.5838914920324645
195	A4-1	3.79986	0.000200514	1.25321	2.25321	0.902501	34.1542	2.7253373337269897
196	A4-1	3.9999	0.000288643	1.80402	2.16909	1.03773	49.8216	2.761698872518043
197	A4-1	4.19987	0.000402356	2.51472	2.0422	0.941233	68.6554	2.730140930202965
198	A4-1	4.3998	0.000540798	3.37999	1.92192	0.970755	90.9773	2.6916440581185155
199	A4-1	4.59978	0.00069688	4.3555	1.80512	0.936536	115.115	2.642980140052807
200	A4-1	4.80008	0.000874597	5.46623	1.67153	0.914293	139.605	2.5539540048625833
201	A4-1	5.00007	0.00104778	6.54862	1.61184	0.911024	167.996	2.5653649165778445
202	A4-1	5.20018	0.0012357	7.72313	1.51435	0.886205	193.592	2.506652095717669
203	A4-1	5.40007	0.00144026	9.00163	1.43573	0.878192	222.149	2.4678752625913303
204	A4-1	5.60002	0.00165761	10.3601	1.36869	0.858638	252.758	2.439725485275239
205	A4-1	5.80009	0.00191026	11.9391	1.30077	0.845259	286.72	2.4015210526756627
206	A4-1	6.00005	0.00216204	13.5128	1.25289	0.843596	323.343	2.3928645432478834
207	A4-1	6.2001	0.00243594	15.2246	1.20205	0.833874	361.174	2.3723053479237546
208	A4-1	6.40012	0.00273968	17.123	1.15056	0.829198	401.352	2.343935058108976
209	A4-1	6.60007	0.00307878	19.2424	1.09942	0.817988	444.448	2.309732673678959
210	A4-1	6.80002	0.00344333	21.5208	1.04971	0.814367	488.977	2.272113490204825
211	A4-1	7.00001	0.00383792	23.987	1.00661	0.795705	538.005	2.2429024054696294
212	A4-1	7.19999	0.0042601	26.6256	0.961662	0.779493	586.819	2.2039653566492396
213	A4-1	7.39998	0.00470814	29.4259	0.922722	0.775661	639.56	2.173459435395349
214	A4-1	7.59995	0.0051956	32.4725	0.882378	0.760299	693.156	2.134593887135268
215	A4-1	7.79997	0.00570318	35.6449	0.847569	0.748605	750.093	2.104348728710138
216	A4-1	7.99993	0.00625899	39.1187	0.812187	0.736131	809.052	2.068197562802445
217	A4-1	8.19989	0.0068375	42.7344	0.779693	0.72351	869.68	2.0350818076303865
218	A4-1	8.39995	0.00744568	46.5355	0.749822	0.715571	932.974	2.004865102985893
219	A4-1	8.59991	0.00809359	50.5849	0.724679	0.709175	1003.49	1.983773813924709
220	A4-1	8.79992	0.00885018	55.3136	0.692261	0.692072	1072.58	1.9390891209395158
221	A4-1	8.99994	0.00957157	59.8223	0.667323	0.681895	1143.64	1.911728569446511
222	A4-1	9.19988	0.0103839	64.8994	0.64674	0.674998	1229.14	1.8939158143218584
223	A4-1	9.39991	0.0112055	70.0344	0.619189	0.658958	1297.5	1.8526609780336518
224	A4-1	9.60023	0.012229	76.4313	0.594713	0.646535	1389.03	1.8173575485435944
225	A4-1	9.80017	0.0131193	81.9956	0.576687	0.640882	1475.08	1.7989745791237577
226	A4-1	10.0002	0.0141354	88.3462	0.55384	0.628166	1557.51	1.762962074203531
227	A4-1	10.2003	0.0151021	94.3881	0.534436	0.61921	1637.86	1.735239929609771
228	A4-1	10.4002	0.0159065	99.4156	0.517532	0.61204	1703.27	1.7132824224769554
229	A4-1	10.6002	0.0169214	105.759	0.498904	0.601113	1780.32	1.6833744645845745
230	A4-1	10.8001	0.0177644	111.027	0.501355	0.615755	1913.61	1.7235537301737414
231	A4-1	11.0002	0.0195529	122.206	0.466574	0.583138	1996.47	1.6336922900675908
232	A4-1	11.0409	0.0200006	125.004	0.462307	0.580535	2030.99	1.6247400083197339
233	B1-1	-0.999954	-5.07439e-07	-0.00317149	-3.60308	15.6453	-0.0363721	1.146845804338024
234	B1-1	-0.79998	-2.76257e-07	-0.00172661	-138.036	-17.8138	-0.606896	35.1495705457515
235	B1-1	-0.599961	-1.4505e-07	-0.000906563	-131.15	15.05	-0.22706	25.046246096520598
236	B1-1	-0.399952	-6.55757e-08	-0.000409848	-252.091	-49.974	-0.131534	32.09336144131483
237	B1-1	-0.199983	1.52504e-10	9.5315e-07	-459849.0	-101254.0	-0.27901	-29272.412526884535
238	B1-1	7.93695e-05	2.19765e-08	0.000137353	-4820910.0	-391.333	-0.167291	-121.79639323494936
239	B1-1	0.20007	4.82621e-08	0.000301638	37.4948	84.8589	0.0072026	2.3878291196732504
240	B1-1	0.400019	8.94481e-08	0.000559051	-714.872	72.9519	-0.508874	-91.02461135030616
241	B1-1	0.59999	1.43384e-07	0.00089615	-217.868	-53.9486	-0.37288	-41.60910561847905
242	B1-1	0.800009	2.55987e-07	0.00159992	5.95205	48.8366	0.0242499	1.5156945347267365
243	B1-1	1.00001	4.1502e-07	0.00259387	-23.7513	-31.0278	-0.196106	-7.5603634723405575
244	B1-1	1.20002	6.7831e-07	0.00423944	20.105	13.5737	0.325574	7.679646368388278
245	B1-1	1.40002	1.07422e-06	0.00671387	6.63536	7.70181	0.198528	2.9569830812929054
246	B1-1	1.60002	1.67986e-06	0.0104991	5.58608	-4.98246	0.2987	2.845005762398682
247	B1-1	1.8	2.56151e-06	0.0160094	2.38282	5.74611	0.21857	1.3652604095094132
248	B1-1	1.99999	3.6781e-06	0.0229881	2.79875	2.59834	0.409586	1.7817305475441643
249	B1-1	2.20021	5.1985e-06	0.0324906	0.248764	0.248302	0.0566058	0.17422208269468706
