	Timestamp	Filtered Rate: CBP	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: F-BsubPc	Thickness: CBP	Thickness: F-BsubPc	State: CBP	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F-BsubPc
53	14:50:27	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
54	14:50:28	-0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
55	14:50:29	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
56	14:50:30	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
57	14:50:31	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
58	14:50:32	-0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
59	14:50:33	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
60	14:50:34	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
61	14:50:35	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
62	14:50:36	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
63	14:50:37	-0.001	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
64	14:50:38	0.000	-0.004	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
