	Timestamp	Filtered Rate: CBP	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: BuO-BsubPc	State: CBP	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: BuO-BsubPc
150	11:45:44	-0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
151	11:45:45	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	790
152	11:45:46	-0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
153	11:45:47	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
154	11:45:48	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
155	11:45:49	-0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	783
156	11:45:50	-0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
157	11:45:51	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
158	11:45:52	0.000	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
159	11:45:53	0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
160	11:45:54	-0.001	-0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
161	11:45:55	-0.000	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
162	11:45:56	-0.000	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
163	11:45:57	0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
164	11:45:58	0.000	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
165	11:45:59	0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
166	11:46:00	-0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
167	11:46:01	0.000	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
168	11:46:02	0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
169	11:46:03	-0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
170	11:46:04	0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
171	11:46:05	0.001	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	788
172	11:46:06	0.000	-0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
173	11:46:07	0.001	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
174	11:46:08	0.001	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
175	11:46:09	0.001	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
176	11:46:10	0.000	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
177	11:46:11	0.000	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
178	11:46:12	0.001	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
179	11:46:13	-0.000	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
180	11:46:14	0.000	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
181	11:46:15	0.000	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
182	11:46:16	0.001	0.000	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	787
183	11:46:17	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
184	11:46:18	-0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
185	11:46:19	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
186	11:46:20	0.000	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
187	11:46:21	-0.000	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	786
188	11:46:22	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
189	11:46:23	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
190	11:46:24	0.000	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
191	11:46:25	-0.000	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
192	11:46:26	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
193	11:46:27	-0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
194	11:46:28	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	784
195	11:46:29	0.001	0.001	12.000	19.324	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	785
