	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: BuO-BsubPc	State: CBP	State: TxOPhCz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: BuO-BsubPc
36	12:16:38	0.000	-0.000	-0.000	12.000	3.062	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
37	12:16:39	0.001	-0.000	-0.000	12.000	3.153	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
38	12:16:40	-0.001	0.000	-0.000	12.000	3.245	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
39	12:16:41	-0.001	-0.000	-0.001	12.000	3.337	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
40	12:16:42	-0.001	-0.000	-0.001	12.000	3.428	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
41	12:16:43	-0.001	-0.000	-0.001	12.000	3.520	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
42	12:16:44	0.015	-0.000	-0.001	12.000	3.612	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
43	12:16:45	-0.013	-0.000	-0.001	12.000	3.703	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
44	12:16:46	-0.001	-0.000	-0.001	12.000	3.795	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
45	12:16:47	0.001	-0.000	-0.002	12.000	3.887	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
46	12:16:48	-0.002	-0.000	-0.002	12.000	3.978	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
47	12:16:49	0.001	-0.000	-0.009	12.000	4.070	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
48	12:16:50	0.000	0.000	-0.005	12.000	4.162	18.000	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
49	12:16:51	-0.001	-0.000	-0.004	12.000	4.253	17.950	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
50	12:16:52	0.001	0.000	-0.004	12.000	4.345	17.570	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
51	12:16:53	0.000	0.000	-0.004	12.000	4.437	17.157	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
52	12:16:54	-0.001	-0.000	-0.004	12.000	4.528	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
53	12:16:55	0.000	0.000	-0.004	12.000	4.620	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
54	12:16:56	-0.001	0.000	-0.004	12.000	4.712	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
55	12:16:57	-0.001	-0.000	-0.004	12.000	4.803	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
56	12:16:58	-0.001	0.000	-0.004	12.000	4.895	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
57	12:16:59	0.000	0.000	-0.004	12.000	4.987	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	784
58	12:17:00	-0.001	0.000	-0.003	12.000	5.078	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
59	12:17:01	-0.002	-0.000	-0.003	12.000	5.170	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
60	12:17:02	0.000	-0.000	-0.003	12.000	5.262	16.945	0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
