	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
59	14:02:47	0.000	-0.000	3.240	4.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
60	14:02:48	0.000	-0.000	3.640	5.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
61	14:02:49	0.000	-0.000	4.040	6.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
62	14:02:50	-0.001	-0.000	4.440	6.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	749
63	14:02:51	0.000	-0.000	4.840	7.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	746
64	14:02:52	0.001	-0.000	5.240	8.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	750
65	14:02:53	0.000	0.000	5.640	8.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	747
66	14:02:54	-0.001	-0.000	6.040	9.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
67	14:02:55	0.000	0.000	6.440	10.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
68	14:02:56	0.000	-0.000	6.840	10.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
69	14:02:57	0.000	0.000	7.240	11.600	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	749
70	14:02:58	0.000	-0.000	7.640	12.267	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
71	14:02:59	0.000	-0.000	8.040	12.933	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
