	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: F-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: F-BsubPc	State: CBP	State: TxOPhCz	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: F-BsubPc
53	11:57:07	0.000	-0.062	-0.003	20.143	13.347	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
54	11:57:08	0.000	-0.068	-0.003	20.143	13.457	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	762
55	11:57:09	0.001	-0.059	-0.003	20.143	13.755	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
56	11:57:10	-0.001	-0.054	-0.003	20.143	13.921	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	762
57	11:57:11	-0.001	0.006	-0.003	20.143	13.971	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
58	11:57:12	-0.001	0.017	-0.003	20.143	14.021	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
59	11:57:13	-0.001	0.006	-0.003	20.143	14.021	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
60	11:57:14	-0.001	0.014	-0.003	20.143	14.021	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
61	11:57:15	-0.001	0.014	-0.003	20.143	14.021	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	768
62	11:57:16	-0.001	0.003	-0.003	20.143	14.021	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	767
63	11:57:17	-0.001	-0.000	-0.003	20.143	14.204	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
