	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: tri-PXZ-trz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: tri-PXZ-trz	Thickness: BuO-BsubPc	State: CBP	State: tri-PXZ-trz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz	Current Z-Ratio: BuO-BsubPc
45	11:41:12	-0.001	-0.000	-0.001	12.000	4.310	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
46	11:41:13	-0.000	-0.000	-0.002	12.000	4.410	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
47	11:41:14	-0.001	-0.000	-0.002	12.000	4.520	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
48	11:41:15	0.000	-0.000	-0.002	12.000	4.610	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
49	11:41:16	0.000	-0.000	-0.002	12.000	4.710	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
50	11:41:17	-0.001	-0.000	-0.002	12.000	4.820	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
51	11:41:18	-0.001	-0.000	-0.002	12.000	4.910	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
52	11:41:19	0.000	0.000	-0.003	12.000	5.010	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
53	11:41:20	-0.001	0.000	-0.003	12.000	5.110	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
54	11:41:21	0.000	-0.000	-0.003	12.000	5.220	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
55	11:41:22	0.000	-0.000	-0.003	12.000	5.310	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
56	11:41:23	-0.001	0.001	-0.003	12.000	5.410	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
57	11:41:24	-0.001	-0.000	-0.003	12.000	5.510	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
58	11:41:25	0.000	-0.001	-0.003	12.000	5.610	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
59	11:41:26	-0.001	-0.000	-0.003	12.000	5.710	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
60	11:41:27	-0.001	-0.000	-0.003	12.000	5.820	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
61	11:41:28	-0.001	0.000	-0.003	12.000	5.910	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
62	11:41:29	-0.001	0.000	-0.003	12.000	6.010	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
63	11:41:30	-0.001	0.001	-0.003	12.000	6.120	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
64	11:41:31	-0.001	0.001	-0.003	12.000	6.210	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
65	11:41:32	-0.001	-0.000	-0.003	12.000	6.310	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
66	11:41:33	-0.001	-0.000	-0.003	12.000	6.410	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
67	11:41:34	-0.001	0.000	-0.003	12.000	6.510	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
68	11:41:35	-0.001	-0.002	-0.003	12.000	6.620	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
69	11:41:36	-0.001	-0.001	-0.003	12.000	6.710	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
70	11:41:37	0.000	-0.000	-0.003	12.000	6.810	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
71	11:41:38	-0.001	-0.001	-0.003	12.000	6.910	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
72	11:41:39	-0.001	-0.001	-0.003	12.000	7.010	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
73	11:41:40	-0.001	-0.001	-0.003	12.000	7.120	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
74	11:41:41	-0.001	-0.000	-0.003	12.000	7.210	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	781
75	11:41:42	-0.001	-0.001	-0.003	12.000	7.310	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	782
76	11:41:43	-0.001	0.001	-0.003	12.000	7.410	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
77	11:41:44	-0.001	0.002	-0.003	12.000	7.510	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
78	11:41:45	0.000	-0.000	-0.003	12.000	7.610	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	791
79	11:41:46	-0.000	0.001	-0.003	12.000	7.710	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
80	11:41:47	-0.001	-0.002	-0.003	12.000	7.810	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
81	11:41:48	-0.001	-0.002	-0.002	12.000	7.910	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
82	11:41:49	-0.001	-0.000	-0.003	12.000	8.010	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
83	11:41:50	0.001	-0.002	-0.003	12.000	8.110	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
84	11:41:51	-0.001	-0.001	-0.003	12.000	8.210	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
85	11:41:52	0.000	-0.001	-0.003	12.000	8.310	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	790
86	11:41:53	-0.001	-0.001	-0.002	12.000	8.410	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
87	11:41:54	-0.001	-0.001	-0.002	12.179	8.510	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
88	11:41:55	0.000	-0.000	-0.002	12.469	8.610	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	785
89	11:41:56	-0.001	-0.001	-0.002	13.212	8.710	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
90	11:41:57	-0.001	-0.001	-0.002	14.256	8.810	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
91	11:41:58	-0.000	-0.001	-0.002	17.583	8.910	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
92	11:41:59	-0.001	-0.001	-0.002	19.583	9.010	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
93	11:42:00	0.000	-0.001	-0.002	20.583	9.110	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	789
94	11:42:01	-0.001	-0.001	-0.002	20.583	9.210	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
95	11:42:02	-0.000	-0.001	-0.002	20.583	9.310	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
96	11:42:03	-0.001	-0.001	-0.002	20.583	9.420	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
97	11:42:04	-0.001	-0.001	-0.002	20.583	9.510	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
98	11:42:05	-0.001	-0.001	-0.002	20.583	9.610	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
99	11:42:06	-0.001	0.001	-0.002	20.583	9.720	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	787
100	11:42:07	-0.001	-0.001	-0.002	20.583	9.810	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
101	11:42:08	-0.001	-0.001	-0.002	20.583	9.910	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	786
102	11:42:09	-0.001	-0.001	-0.002	20.583	10.010	18.000	-0.000	-0.000	-0.000	Manual	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	788
