	Wavelength (nm)	Intensity (Counts)	Standard Deviation (Counts)
68	414.0	107.39722222222221	221.45662767748442
69	414.5	51.19388888888889	228.95239192506784
70	415.0	66.12888888888887	164.47958012027877
71	415.5	37.08711111111111	148.91683685007584
72	416.0	93.18961111111112	209.0468897781173
73	416.5	84.88111111111112	223.46883854078055
74	417.0	52.453888888888905	157.2088124876129
75	417.5	42.13000000000001	172.4447011524435
76	418.0	111.77555555555556	209.19976336353255
77	418.5	-24.636111111111113	198.20531605548405
78	419.0	27.674999999999997	174.40178749243242
79	419.5	53.16084277777778	183.44897937579023
80	420.0	-42.47911111111111	254.03567062759095
81	420.5	60.02088888888889	184.325142808055
82	421.0	55.99166666666666	214.91912732855275
83	421.5	91.53716666666668	220.73839978536938
84	422.0	69.82744444444444	185.56287415417455
85	422.5	75.09116666666667	215.37390096662904
86	423.0	15.567005555555559	175.16192755003857
87	423.5	-33.73376111111111	156.38410871761712
88	424.0	90.02799999999999	188.77004461395765
89	424.5	114.23077777777777	120.51537774286803
90	425.0	23.63666666666667	189.3661456895961
91	425.5	61.74255555555557	168.56110021763695
92	426.0	137.24894444444445	233.11537394376495
93	426.5	12.063444444444443	194.43488856319033
94	427.0	154.4682222222222	258.6408192806635
95	427.5	81.33333333333333	184.69180812610205
96	428.0	111.06522222222223	185.72563536708168
97	428.5	61.07827777777777	181.8336992950199
98	429.0	6.977222222222213	215.275884952969
99	429.5	135.07494444444444	194.08113026099625
100	430.0	15.227777777777773	226.93795506837827
101	430.5	79.67944444444444	152.08863630835737
102	431.0	184.54999999999998	126.11761957263018
103	431.5	-41.207611111111106	184.07509225951446
104	432.0	151.05722222222224	213.87335088800035
105	432.5	24.122666666666667	163.34146195011235
106	433.0	101.4122222222222	171.59566138505025
107	433.5	76.73894444444444	253.11764433876996
108	434.0	85.72166666666666	190.77244822766673
109	434.5	153.1838888888889	207.99727252856223
110	435.0	88.58833333333331	180.6189087323547
111	435.5	98.2405	200.1886625600544
112	436.0	49.21222222222222	170.05756987808425
113	436.5	34.12488888888888	266.7266342691393
114	437.0	61.660500000000006	265.4427475785085
115	437.5	120.14499999999998	169.55324018824686
116	438.0	99.33049999999999	180.40415946555171
117	438.5	66.81433333333334	136.27103326663212
118	439.0	104.36333333333333	164.84492143290984
119	439.5	107.87994444444445	226.46630201630742
120	440.0	103.14222222222223	171.3636337524374
121	440.5	116.38333333333334	172.90722425624674
122	441.0	79.30944444444445	188.42256554151606
123	441.5	7.601666666666661	181.56946577764054
124	442.0	27.77666666666666	335.23995807315225
125	442.5	132.70611111111108	228.88825371877888
126	443.0	175.11388888888888	178.6054094343446
127	443.5	144.55916666666667	154.8252872348736
128	444.0	165.91722222222225	140.8706861236596
129	444.5	80.61388888888888	209.90428967452146
130	445.0	166.505	192.22311354401575
131	445.5	129.4427777777778	187.1458514042978
132	446.0	168.0143333333333	221.8896737051997
133	446.5	167.33314444444443	140.1702018019491
134	447.0	175.50055555555554	258.46647606544906
135	447.5	154.6622222222222	192.52034803150767
136	448.0	184.7561111111111	216.12004362645027
137	448.5	252.6577777777778	180.37460278097652
138	449.0	146.2531111111111	154.0138626447809
139	449.5	196.48950000000002	235.68254078273503
140	450.0	98.42099999999999	173.3474557942323
141	450.5	224.52111111111108	137.72180465178056
142	451.0	182.42055555555555	240.31618696283866
143	451.5	235.9463333333333	171.66912609791612
144	452.0	256.7933333333333	157.63356495366077
145	452.5	168.0127222222222	203.07021411702394
146	453.0	187.10777777777778	176.8853195201015
147	453.5	242.76055555555558	207.57135491927755
148	454.0	266.6011111111111	231.9163842347996
149	454.5	282.6772222222222	209.39466139341215
150	455.0	297.0077777777778	137.67125789581965
151	455.5	283.63649999999996	207.18444761565854
152	456.0	307.72722222222217	245.08768385134593
153	456.5	374.92499999999995	242.1150731975282
154	457.0	295.5422222222223	259.01350313482277
155	457.5	349.4033333333333	159.0358605262767
156	458.0	320.0722222222223	177.61277054797722
157	458.5	445.9388888888889	200.56060358374606
158	459.0	314.3908333333334	237.18060219219026
159	459.5	406.2061111111111	244.63950160590926
160	460.0	400.4388888888889	159.85071556121383
161	460.5	439.3866666666667	251.38924283093556
162	461.0	452.1444444444444	201.77917308621824
163	461.5	408.07777777777784	191.98681539092888
164	462.0	449.87777777777774	206.9387981332633
165	462.5	487.09999999999997	177.67913026952078
166	463.0	545.9277777777778	175.77683391023453
167	463.5	580.6444444444445	279.77103182229854
168	464.0	551.4333333333333	269.93046635507204
169	464.5	654.4944444444444	188.53709470617954
170	465.0	629.4222222222222	183.02033146182163
171	465.5	708.8277777777779	222.38603274875064
172	466.0	724.7555555555556	200.71024782070026
173	466.5	687.911111111111	185.15647103310246
174	467.0	679.7888888888888	198.14002032482227
175	467.5	767.6555555555555	181.70451355680075
176	468.0	785.5111111111111	252.68070517044254
177	468.5	831.4388888888889	320.0385968717747
178	469.0	899.1111111111112	289.5165796229004
179	469.5	947.8777777777777	253.37154000390538
180	470.0	924.7333333333333	191.04611136232705
181	470.5	977.183333333333	287.5712071238473
182	471.0	1087.4333333333334	306.439499194648
183	471.5	1205.2222222222222	247.4826336343973
184	472.0	1117.9222222222224	265.090975066539
185	472.5	1266.9	353.7329516897049
186	473.0	1317.872222222222	349.99056623088757
187	473.5	1314.7222222222222	328.27344556288494
188	474.0	1338.9833333333333	277.1042368054945
189	474.5	1467.0333333333335	377.5032567924267
190	475.0	1517.8777777777777	384.7184086453588
191	475.5	1474.0500000000002	331.4652457900627
192	476.0	1543.0	432.7579513358991
193	476.5	1759.5555555555557	399.5834250569547
194	477.0	1668.9888888888888	461.7780875039065
195	477.5	1919.9444444444443	404.08352714949945
196	478.0	1977.611111111111	448.84470698411303
197	478.5	2125.3888888888887	417.25347197661904
198	479.0	2150.222222222222	449.60508048181765
199	479.5	2287.9444444444443	406.76193859720695
200	480.0	2351.1111111111113	519.9660126594696
201	480.5	2493.1111111111113	560.8528118349857
202	481.0	2552.0	540.8937048995856
203	481.5	2715.3333333333335	534.3559986875167
204	482.0	2772.8888888888887	624.3246029723185
205	482.5	2898.8333333333335	676.5904924283554
206	483.0	3065.0	553.2819253227859
207	483.5	3200.5555555555557	614.5639124364005
208	484.0	3267.1111111111113	662.0646904351474
209	484.5	3320.8888888888887	645.2190746723066
210	485.0	3553.3333333333335	706.5400830022942
211	485.5	3685.4444444444443	580.1918477942564
212	486.0	3858.4444444444443	649.160844836729
213	486.5	3782.6111111111113	623.8178276538475
214	487.0	3981.5	776.4477695820169
215	487.5	4138.777777777777	787.1655590051882
216	488.0	4245.111111111111	807.9988922495769
217	488.5	4263.722222222223	961.3441865750938
218	489.0	4395.222222222223	808.5088850989522
219	489.5	4590.111111111111	811.8324190023516
220	490.0	4585.055555555556	738.2857375345359
221	490.5	4777.111111111111	1000.7684763270057
222	491.0	4935.5	907.1642170338657
223	491.5	4984.277777777777	904.9199354120632
224	492.0	4958.222222222223	861.5318756955579
225	492.5	5174.222222222223	862.6782943288727
226	493.0	5149.777777777777	895.8113365085775
227	493.5	5314.388888888889	884.2872295363017
228	494.0	5312.722222222223	960.0476727489199
229	494.5	5491.222222222223	943.4174023526004
230	495.0	5622.888888888889	1001.7722012562919
231	495.5	5759.333333333333	1022.1601309644851
232	496.0	5712.388888888889	1000.0361181748991
233	496.5	5826.277777777777	973.5041405810224
234	497.0	5891.888888888889	1032.3882715383183
235	497.5	5930.722222222223	1018.3495255426005
236	498.0	6037.611111111111	1055.1632911486515
237	498.5	6244.166666666667	984.6025848026197
238	499.0	6190.944444444444	1071.0945840702823
239	499.5	6338.611111111111	1107.5037064843366
240	500.0	6413.166666666667	1039.4634967670154
241	500.5	6588.111111111111	1108.8706411324235
242	501.0	6664.222222222223	1101.740469315889
243	501.5	6822.333333333333	1149.1711505834687
